Kabupaten_Kota,Sektor_1,Sektor_2,Sektor_3,Sektor_4,Sektor_5,Sektor_6,Sektor_7,Sektor_8,Sektor_9,Sektor_10,Sektor_11,Sektor_12,Sektor_13,Sektor_14,Sektor_15,Sektor_16,Sektor_17,Sektor_18,Sektor_19,Sektor_20
Kota Baubau,324.51,331.26,341.82,339.65,1337.24,372.01,377.82,473.66,479.96,1703.45,1122,1189.13,1179.47,1242.59,4733.19,1818.52,1898.21,1994.94,2062.2,7773.88
Boalemo,489.25,518.65,539.84,524.01,2071.76,79.88,80.29,84.59,84.62,329.37,389.93,392.2,392.66,401.34,1576.12,959.06,991.13,1017.09,1009.97,3977.26
Gorontalo,979.06,1028.54,1067.47,1043.69,4118.76,469.2,470.62,500.47,496.27,1936.56,1029.52,1051.44,1061.66,1073.77,4216.39,2477.78,2550.59,2629.61,2613.73,10271.71
Pohuwato,699.77,745.21,755.75,727.28,2928.01,142.11,142.24,150.81,154.31,589.46,429.33,435.44,437.05,449.27,1751.08,1271.2,1322.89,1343.6,1330.86,5268.56
Bone Bolango,295.38,311.93,328.04,333.95,1269.3,155.94,157.86,167.54,164.95,646.3,429.45,434.37,431.36,442.27,1737.45,880.76,904.16,926.94,941.18,3653.05
Gorontalo Utara,318.26,339.95,352.98,352.16,1363.36,73.09,73.34,81.25,80.5,308.18,245.47,250.57,248.23,252.63,996.9,636.81,663.87,682.46,685.29,2668.43
Kota Gorontalo,84.07,88.01,84.74,81.06,337.88,314.97,316.17,346.55,349.9,1327.59,1365.97,1385.52,1378.09,1415.16,5544.75,1765.01,1789.69,1809.39,1846.12,7210.22
Majene,365.92,397.42,393.84,405,1562.18,129.15,132.51,139.09,160.65,561.4,471.97,501.4,484.93,501.98,1960.28,967.04,1031.33,1017.86,1067.63,4083.86
Polewali Mandar,1064.69,1111.44,1159.8,1119.41,4455.34,353.99,360.85,359.14,399.49,1473.47,1166.53,1227.31,1213.76,1266.83,4874.43,2585.21,2699.6,2732.7,2785.74,10803.24
Mamasa,211.65,232.99,236.07,240.79,921.5,80.31,80.25,82.42,87.38,330.35,295.15,300.96,299.99,303.08,1199.18,587.1,614.21,618.48,631.24,2451.03
Mamuju,803.5,885.46,907.91,875.72,3472.59,324.63,333.04,349.76,395.44,1402.87,1116,1190.93,1179.58,1213,4699.51,2244.12,2409.43,2437.24,2484.17,9574.96
Mamuju Utara,803.62,874.27,865.84,823.15,3366.88,711.49,731.91,678.04,790.3,2911.75,398.91,423.66,412.03,424.06,1658.67,1914.02,2029.84,1955.91,2037.52,7937.29
Mamuju Tengah,407.02,452.19,469.38,413.05,1741.63,68.74,71.3,72.55,70.07,282.65,107.04,111.34,111.11,115.28,444.77,582.79,634.82,653.03,598.4,2469.05
Maluku Tenggara Barat,111.22,109.63,115.56,109.6,446.01,85.57,89.67,90.84,95.93,362,287.05,304.48,304.45,315.46,1211.43,483.84,503.78,510.84,520.98,2019.45
Maluku Tenggara,185.39,175.83,187.14,196.03,744.4,67.22,71.55,72.59,76.26,287.62,316.02,337.99,339.82,349.71,1343.54,568.64,585.37,599.56,622,2375.56
Maluku Tengah,420.04,403.55,425.14,421.88,1670.61,310.81,320.37,322.75,336.31,1290.23,946.84,1006.13,1016.44,1043.26,4012.67,1677.69,1730.05,1764.33,1801.45,6973.51
Buru,152.87,151.14,160.92,147.6,612.53,86.94,89.29,92.26,97.13,365.62,202.18,217.57,218.13,225.86,863.74,441.99,458,471.31,470.59,1841.88
Kepulauan Aru,390.15,374.66,408.31,466.1,1639.23,62.06,64.96,66.14,69.8,262.95,199.65,213.09,215.61,225.24,853.59,651.86,652.71,690.07,761.14,2755.77
Seram Bagian Barat,214.46,210.44,228.64,215.29,868.83,89.3,93.24,94.78,99.81,377.12,265.1,282.53,283.23,293.47,1124.33,568.86,586.22,606.65,608.56,2370.29
