created_at,full_text,id_str
14/02/2025,"lu cari apk, sosmed seputar loker, semuanye ada, setiap hari update, tinggal bergantung ke elu mampu ga bersaing di dunia kerja",6804332555232904194
14/02/2025,kalah ama orng dalam,7176983701209220098
14/02/2025,"ya lu cari lagi yang lain, hidup ga akan berubah kalo lu cuma bisa ngeluh bro, apaalgi lu laki, ngeluh ga akan buat lu keterima kerja, semangat",6804332555232904194
15/02/2025,"ya makanya nyari di luar, di indo kerja serius gaji bercanda",7176983701209220098
15/02/2025,"ga semua yang diluar sesuai ekspetasilu, negara luar juga punya masyarakatnya sendiri, kecuali lu mampu bertahan lebih dari 5-10 tahun, hidup dimanapun ga semudah pamernya warga di medsos",6804332555232904194
14/02/2025,terus kalau ke negara lain yakin langsung di terima kerja??,7462790689668301844
13/02/2025,"ciptakan lapangan kerja sendiri ,,,,banyak kok pengusaha muda yg sukses ,,",7376549017892930566
15/02/2025,hadeh,7119187109886100506
13/02/2025,duitnya dari mana,7176983701209220098
13/02/2025,"hadeeeeh,,,masak iya diem nunggu dikasih pak Prabowo,,",7376549017892930566
13/02/2025,gini aja lo pikir nyiptain lapanga kerja sendiri ga pake duit?,7176983701209220098
13/02/2025,"ya jangan bayangin mau langsung buka pabrik atau perusahaan kak,,ciptain lapangan kerja minimal untuk diri sendiri dulu,,bisnis kecil2 an,,",7376549017892930566
14/02/2025,buset emg lu udh punya usaha apa bg? gampang bet ngetik nya😹,7286368917956985861
14/02/2025,"wkwkwk iya sih bner. tp sejak kasus efishery, investor luar jadi gamau masuk indo. bahkan udah ngecap indo itu ""investasi bodong"" sekarang kaya gmn pengusaha muda bisa sukses lagi?",7400151666530698245
14/02/2025,"investor darimana itu,,,,kok ga denger beritanya,,,itu kmaren presiden Turki mau investasi diindo,,,Qatar sudah investasi dlm pembangunan rumah,,,",7376549017892930566
13/02/2025,"ya ngomong memang gamoang, uangnya dari mana? kita kerja sengaja biar daoat uang, eh kerjanya butuh orng yg ber uang😂 jadi siapa yg sakit sbnrnya? 😂",7083121011100681218
13/02/2025,"semua tergantung mindset Qt sendiri,,,",7376549017892930566
14/02/2025,hubungan mindsetnya drimna? orng kerja buat cari uangg tapi syarat kerjanya ga ngotak dan ujung ujungnya pake ordal + kasih uang. jadi mindset bagian mana yg lu maksud?,7083121011100681218
11/02/2025,"gue sebagai petani, rasanya pengen pindah negara cuma mau jadi petani😅 kebanyakan melenceng di kampung2 kalau kita baik sendiri rasa kek gimana gitu",6951843746695824385
11/02/2025,kalo umur masih 30 kebawah mending ke jepang atau ke negara lain ambil job pertanian #kaburajadulu,7448222386451383302
13/02/2025,ditunggu kaburnya,6905094081899267074
11/02/2025,"makasih sarannya kk,",6951843746695824385
12/02/2025,LPK Harenohi adalowongan di bidang Pertanian bang,7158676386420589570
12/02/2025,"ke thailand keknya enak tuh ka, di sana petaninya pada sejahtera (gw baca di x)",6877186118623216641
12/02/2025,Australia biasanya byk lowongan di bidang pertanian,6807822628931437570
12/02/2025,jadi petani apa bang dikampung?,7293159230957716485
13/02/2025,"semua bg ku kerjakan padi, kopi, kakao, cabe, sayur,",6951843746695824385
20/02/2025,hebat ya bang👍,7293159230957716485
13/02/2025,Bagus bg jadi petani di Jepang,7446011396729127956
12/02/2025,"klo ada duit, lbih baik ke luar negeri & ke tempat yg dmn petani dihargai dan emg ada bbrpa negara yg kasih gaji gde untuk petani #KaburAjaDulu",6888911964778284033
13/02/2025,"di Swiss cocok itu jadi petani, tempatnya juga bagus dan sejuk",6558402222530150402
11/02/2025,jadi petani di eropa aja bang. kebetulan di eropa harga beras 1kg 80rb😁,6936684194736194562
12/02/2025,gapapa bisa kak petani gajinya guede ini aku dapet dari murid lpk kakakku,7270854461894968327
12/02/2025,"dan alhamdulillah nya gw disini bener benr dihargai walaupun jadi seorang petani,org nya baik dan ramah,gaji pun jls memuaskan",6747005485487047682
15/02/2025,petanian bagian sayur kah bang ? atau padi ?,7210910162847024155
12/02/2025,"mantap lah bg, semoga bisa nyusul,",6951843746695824385
14/02/2025,di eropa petani kaya kaya jir🗿,7183995598386463749
12/02/2025,"Alhamdulillah bang gw umur 19 udah di jepang ambil job pertanian,karena emg basic nya dulu di pertanian kebawa dari ortu gw, trs gw lulus smk gamau pikir panjang nyari kerjaan diindo langsung gas ambil job pertanian disini(jepang)",6747005485487047682
11/02/2025,"hey hey
revolusi bisa berdampak buruk pada masyarakat bre",7161744452780344325
