created_at,full_text,id_str,lang
Thu Sep 25 06:52:12 +0000 2025,petty shit ass country dari kerajaan ke rakyat sama bodoh now termakan action sendiri berapa ramai #KaburAjaDulu ke Malaysia jijik,1971105437069214112,in
Thu Sep 25 06:23:04 +0000 2025,tapi gpp memang lebih baik kabur aja dulu bismillah kita bsa #kaburajadulu. Jangan lupa belajar bahasa jepang/korea/mandarin!,1971098104758714463,in
Thu Sep 25 03:00:12 +0000 2025,Ga kepikiran juga #kaburajadulu jalur ngidol hmmm ak masih cocok g y‍,1971047051824857109,in
Thu Sep 25 00:54:35 +0000 2025,bisa ga lulus aja langsung ini kuliah trs #kaburajadulu ke ln trs kerja n menikahidup bahagia #maleskuliah,1971015441842831852,in
Wed Sep 24 22:56:03 +0000 2025,Wah ternyata banyak yang #KaburAjaDulu hehe...,1970985610547691877,in
Wed Sep 24 14:35:15 +0000 2025,mmh ajak aku #kaburajadulu dan hidup di jeju plis https://t.co/pR1wNKLrVW,1970859582374453468,in
Wed Sep 24 13:59:58 +0000 2025,@itsmft_ Sejak hastag #kaburajadulu,1970850701225115752,in
Wed Sep 24 13:30:29 +0000 2025,@tebekkkk 4 orang yg berhasil #kaburajadulu,1970843282055020605,in
Wed Sep 24 12:45:13 +0000 2025,4 orang berhasil #kaburajadulu,1970831891780817136,in
Wed Sep 24 11:54:36 +0000 2025, miskin sehingga banyak warganya berbondong-bondong pindah ke barat #kaburajadulu pokoknya. Berasa familiar ya? Tapi akhirnya cape juga kan mau makmur aja kudu main kucing-kucingan sama pemerintah. Akhirnya revolusi dan itu Mauer (tembok) Berlin segede gaban diruntuhin warga ,1970819152719052947,in
Mon Sep 22 15:45:51 +0000 2025,Keknya kalo #kaburajadulu ga perlu jauh jauh negara tetangga dah mulai maju dan memang sejahterakan rakyat Tapi INDON masih tetep primitif,1970152573891174781,in
Mon Sep 22 14:54:12 +0000 2025,males banget liat harganya. trus ngga bisa order. sialan.. #kaburajadulu https://t.co/TR2rVoS23w,1970139574589677613,in
Mon Sep 22 13:58:54 +0000 2025,@sungtonthinker #kaburajadulu bersama syomton ,1970125655322021991,in
Mon Sep 22 13:29:34 +0000 2025,Buat yang belum bisa #kaburajadulu ke tempat yg lebih baik dgn sumber pendapatan yg lebih tinggi aku doakan semoga kita semua bisa punya pekerjaan dengan gaji setara UMR Swiss atau setara UMR Singapore juga gapapa deh. Lancarkanlah niat baik kami ya Allah. Amiinn.,1970118276446613912,in
Mon Sep 22 10:23:05 +0000 2025,jir padahal baru kemarin w ambis bgt buat #KaburAjaDulu di 2025 ,1970071345141882882,in
Mon Sep 22 09:40:18 +0000 2025,Alasan tambahan kenapa aku harus #KaburAjaDulu,1970060576899662090,in
Mon Sep 22 08:48:13 +0000 2025,@veshmet ups. apa #KaburAjaDulu ya?,1970047473248063720,in
Mon Sep 22 08:12:00 +0000 2025,Resources lengkap belajar bahasa JEPANG ebook . update terbaru DOWNLOAD GRATIS https://t.co/h8x0Snj8TY #zonajajan #KaburAjaDulu,1970038355749437633,in
Mon Sep 22 05:36:46 +0000 2025,@eunchaejaktim Remeh amat kuliah mahal belajar susah2 baru di gaji segitu. Emang bener sihh mending #KaburAjaDulu,1969999291319206179,in
Mon Sep 22 05:31:44 +0000 2025,@NenkMonica @noctiscloud28 @KejaksaanRI @Puspenkum @KejariJaksel Sedang di cari... Jangan sudah di Harun Masiku kan. #KaburAjaDulu,1969998024517828874,in
Mon Sep 22 04:45:41 +0000 2025,what is pengantar politik fisip ui even about #kaburajadulu https://t.co/CBnVMbDZHx,1969986435987255787,in
Mon Sep 22 04:12:08 +0000 2025,bye ol gw mau #kaburajadulu,1969977990798094371,in
Mon Sep 22 03:40:49 +0000 2025,Definisi cry for help wkwkwkwk If i survive this madness tolong mudahkan jalanku untuk #kaburajadulu ya allah https://t.co/xXNIh3lUMQ,1969970109801525531,in
Mon Sep 22 00:36:42 +0000 2025,berarti pelarian #kaburajadulu bakal dihakimi massa wkwkwwkwk,1969923774901575713,in
Sun Sep 21 22:48:33 +0000 2025,Kata gw mah september ini hawanya ga enak krn musim pancaroba sm pemerenta yg makin ga jelas mau bawa negara ini kemana. Ekonomi kacau phk dimana2 baca berita jelek emang bikin mood ikut jelek. Solusinya #KaburAjaDulu,1969896558922694892,in
Sun Sep 21 22:30:22 +0000 2025,Kabur kok ngajak ngajak rame rame :) Sampe negara baru klean bakal banyak saingan dong? Sesama imigran kabur aja dulu nyari kerja? #kaburajadulu yang membagongkan,1969891986196078716,in
Sun Sep 21 21:38:24 +0000 2025,Berarti kaum #kaburajadulu salah brief yah? kabur ke negara maju yg mana wong hampir semua lagi nolak imigran baru wkwkwk,1969878905801847020,in
Sun Sep 21 16:26:38 +0000 2025,@pomeloslurp Ga ikut ikut aku #kaburajadulu,1969800448728326176,in
Sun Sep 21 14:12:44 +0000 2025,inikah saatnya #KaburAjaDulu ke thailand jualan seblak,1969766752134508879,in
Sun Sep 21 13:50:20 +0000 2025,@somexthread #KaburAjaDulu pokona mah,1969761112842473915,in
Sun Sep 21 13:49:00 +0000 2025,#KaburAjaDulu tapi versi mamarika ,1969760776920715570,in
Sun Sep 21 13:17:24 +0000 2025,Kemarin pengen banget #kaburajadulu pas dapet offer. Duhh emang masih enak ini ngantor 9-5? ,1969752825665364037,in
Sun Sep 21 12:55:44 +0000 2025,Tak ada henti2nya hidupku seperti roller coaster. Kemarin happy haha hihi kesana kemari makan enak full senyum no drama. Eeh.. paginya udah bad mood menggalau siang mengsedih kena prank kesel kena marah atasan. Ohmaigat mantap sekali hidupku Mendung #KaburAjaDulu aja gasi https://t.co/ORSAIAP27P,1969747371606307221,in
Sun Sep 21 11:35:30 +0000 2025,#KaburAjaDulu #AusbildungJerman Begitu sampai di Jerman beberapa hal penting adalah ngurus registrasi kamu dong pastinya? Sebagai WNI yang tinggal di negara orang dan sebagai WNA di Jerman. (Lapor ke dua sisi). Aku bakalan bikin terpisah tapi ini bakalan jadi headthreadnya.,1969727183393612209,in
Sun Sep 21 09:32:53 +0000 2025,#KaburAjaDulu ke Belanda.,1969696322828812421,in
Sun Sep 21 08:45:56 +0000 2025,#KaburAjaDulu ini akibat orang terlalu pede https://t.co/5KVdBBiYOy,1969684507252199886,in
Sun Sep 21 06:53:22 +0000 2025,lah gw mah udah #KaburAjaDulu ,1969656179082346714,in
