Kabupaten/Kota,,,,,,,,,,,,,,,,,,,,
,PDRB Triwulanan Atas Dasar Harga Konstan (2010=100) Menurut Lapangan Usaha di Kabupaten/Kota Seluruh Indonesia (Milyar Rupiah),,,,,,,,,,,,,,,,,,,
,Sektor Primer,,,,,Sektor Sekunder,,,,,Sektor Tersier,,,,,PDRB,,,,
,2025,,,,,2025,,,,,2025,,,,,2025,,,,
,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan
Kerinci,980.42,1010.28,1031.43,-,-,295.78,308.47,311.15,-,-,692.4,736.42,745.9,-,-,1968.59,2055.18,2088.48,-,-
Merangin,1555.05,1602.63,1614.23,-,-,440.46,458.58,463.52,-,-,1056.46,1128.26,1132.86,-,-,3051.97,3189.47,3210.62,-,-
Sarolangun,1909.42,1976.42,2038.08,-,-,479.24,520.87,533.93,-,-,886.23,951.5,971.59,-,-,3274.89,3448.79,3543.59,-,-
Batang Hari,2110.76,2255.45,2298.99,-,-,584.23,609.28,619.21,-,-,954.19,1000.79,1023.69,-,-,3649.18,3865.52,3941.89,-,-
Muaro Jambi,2788.59,2936.99,3057.52,-,-,1087.82,1167.23,1197.77,-,-,1152.01,1200.34,1197.88,-,-,5028.43,5304.55,5453.16,-,-
Tanjung Jabung Timur,3226.5,3326.28,3423.6,-,-,566.41,598.76,609.61,-,-,848.78,922.17,932.45,-,-,4641.69,4847.21,4965.67,-,-
Tanjung Jabung Barat,5526.16,5625.86,5735.16,-,-,1946.03,2119.68,2150.91,-,-,1235.24,1308.78,1316.33,-,-,8707.43,9054.32,9202.39,-,-
Tebo,1870.13,1947.2,1979.2,-,-,393.45,409.23,415.48,-,-,834.57,856.18,866.9,-,-,3098.15,3212.62,3261.58,-,-
Bungo,1488.19,1600,1618.72,-,-,672.16,682.26,698.51,-,-,1507.14,1603.56,1614.14,-,-,3667.48,3885.82,3931.37,-,-
Kota Jambi,142.19,143.98,142.42,-,-,1164.04,1201.79,1244.77,-,-,4402.63,4704.37,4716.78,-,-,5708.85,6050.15,6103.96,-,-
Kota Sungai Penuh,85.11,89.51,90.03,-,-,182.13,180.51,189.23,-,-,1117.72,1155.33,1179.32,-,-,1384.97,1425.35,1458.57,-,-
Ogan Komering Ulu,1027.95,1093.19,1149.31,-,-,835.25,862.49,885.08,-,-,1107.83,1128.01,1164.57,-,-,2971.02,3083.69,3198.96,-,-
Ogan Komering Ilir,3724.05,3610.12,3949.57,-,-,1984.53,2128.39,2198.88,-,-,1413.43,1495.08,1481.59,-,-,7122.02,7233.58,7630.05,-,-
Muara Enim,9327.08,10968.06,12016.16,-,-,2088.63,2176.21,2222.96,-,-,1640.92,1759.43,1786.76,-,-,13056.62,14903.7,16025.88,-,-
Lahat,2282.21,2792.32,2839.43,-,-,426.66,448.21,467.37,-,-,978.22,1007.51,1002.86,-,-,3687.09,4248.03,4309.66,-,-
Musi Rawas,2473.02,2722.64,2714.84,-,-,756.85,758.49,748.47,-,-,784.28,779.27,784.25,-,-,4014.15,4260.4,4247.56,-,-
